JD,Magnitude
2457054.2028,0.592
2457054.2215,0.598
2457054.2285,0.596
2457054.2889,0.583
2457054.3347,0.582
2457054.3361,0.596
2457054.3368,0.58
2457054.3424,0.576
2457054.3778,0.556
2457054.3847,0.589
2457059.2646,0.543
2457059.3299,0.565
2457059.3313,0.572
2457060.2229,0.583
2457060.2236,0.607
2457060.2278,0.551
2457060.2451,0.561
2457060.2465,0.586
2457060.2778,0.58
2457060.3042,0.583
2457060.3056,0.52
2457061.3271,0.571
2457061.3361,0.573
2457062.2201,0.569
2457062.2215,0.575
2457062.2354,0.565
2457062.2361,0.587
2457067.3028,0.521
2457067.3139,0.544
2457067.3153,0.546
2457068.3736,0.519
2457068.375,0.52
2457069.2569,0.52
2457070.2368,0.56
2457070.2382,0.569
2457070.2465,0.568
2457070.2472,0.565
2457074.2535,0.559
2457074.266,0.531
2457074.2667,0.539
2457084.3146,0.543
2457084.3333,0.557
2457085.2451,0.545
2457085.2521,0.519
2457088.2889,0.5
2457088.2993,0.534
2457089.359,0.46
2457089.3618,0.46
2457090.2771,0.498
2457091.316,0.405
2457091.3181,0.463
2457098.584,0.45
2457099.259,0.461
2457099.2931,0.495
2457099.2972,0.474
2457101.2653,0.444
2457101.2736,0.429
2457102.316,0.356
2457102.3174,0.402
2457105.2889,0.38
2457105.2972,0.364
2457106.2639,0.344
2457106.2778,0.339
2457113.557,2.167
2457119.2826,0.432
2457125.2931,0.392
2457125.2951,0.374
2457127.2861,0.406
2457127.2882,0.307
2457128.2882,0.389
2457128.2903,0.379
2457266.6179,0.703
2457266.6206,0.704
2457279.6349,0.693
2457281.6307,0.704
2457286.6365,0.72
2457287.6355,0.769
2457294.6587,0.718
2457297.6201,0.71
2457329.5504,0.702
2457332.5992,0.65
2457338.6356,0.669
2457339.4456,0.68
2457350.4123,0.65
2457360.4133,0.625
2457378.341,0.605
2457378.4623,0.604
2457379.4372,0.597
2457383.4615,0.599
2457385.349,0.591
2457386.3381,0.574
2457387.4174,0.61
2457400.3598,0.616
2457401.3772,0.594
2457404.4201,0.36
2457405.3593,0.584
2457406.406,0.581
2457407.4264,0.544
2457409.4584,0.595
2457410.287,0.59
2457410.3618,0.584
2457414.2607,0.63
2457414.4425,0.557
2457417.3316,0.609
2457420.25,0.45
2457421.2386,0.648
2457423.25,0.37
2457424.249,0.608
2457425.2221,0.678
2457425.3046,0.602
2457429.2396,0.33
2457430.3058,0.616
2457432.3218,0.594
2457443.3316,0.587
2457449.25,0.49
2457451.25,0.29
2457452.2981,0.513
2457456.3402,0.483
2457457.3257,0.476
2457462.2708,0.27
2457465.293,0.456
2457496.57,0.28
2457632.6273,0.365
2457632.6289,0.357
2457655.6312,0.386
2457656.6543,0.421
2457659.6511,0.388
2457659.653,0.391
2457666.6621,0.451
2457666.664,0.451
2457691.6711,0.497
2457691.673,0.516
2457701.4441,0.517
2457701.4463,0.509
2457701.699,0.478
2457714.4514,0.499
2457715.4155,0.52
2457725.4203,0.507
2457726.527,0.498
2457732.4729,0.535
2457733.3562,0.482
2457739.3514,0.532
2457739.4561,0.519
2457743.8438,0.466
2457749.5415,0.508
2457752.4162,0.501
2457753.3345,0.493
2457753.7694,0.456
2457754.3329,0.53
2457760.3615,0.5
2457766.7289,0.451
2457769.3018,0.499
2457771.2693,0.517
2457772.3042,0.501
2457773.2699,0.499
2457775.34,0.48
2457780.2814,0.51
2457780.2835,0.509
2457798.233,0.439
2457798.2349,0.437
2457799.2502,0.437
2457800.2409,0.432
2457803.312,0.404
2457804.243,0.406
2457810.2622,0.361
2457810.2641,0.414
2457812.3095,0.395
2457812.3115,0.394
2457814.2638,0.382
2457814.2667,0.387
2457825.5799,0.298
2457826.2716,0.283
2457826.2738,0.303
2457836.2756,0.328
2457836.556,0.29
2457839.2734,0.343
2457839.2753,0.328
2457841.2738,0.334
2457841.2757,0.355
2457843.2674,0.293
2457843.2693,0.283
2457845.2704,0.27
2457845.2723,0.271
2457853.2823,0.266
2457853.2853,0.273
2457865.2866,0.294
2457865.2944,0.123
2457865.2974,0.227
2457865.2997,0.214
2457869.292,0.102
2457990.6283,0.479
2457990.6303,0.481
2457994.5873,0.564
2457994.6209,0.53
2457994.6231,0.543
2458009.6261,0.612
2458009.628,0.603
2458010.583,0.593
2458010.5852,0.613
2458014.571,0.614
2458014.5729,0.598
2458023.6415,0.646
2458023.6436,0.65
2458032.5965,0.692
2458032.5983,0.692
2458038.5989,0.71
2458038.601,0.723
2458042.6213,0.722
2458042.6232,0.723
2458054.6792,0.777
2458054.6811,0.769
2458057.4824,0.783
2458057.4843,0.781
2458059.4629,0.737
2458059.4648,0.752
2458072.4134,0.678
2458072.4154,0.706
2458073.4044,0.713
2458073.4062,0.713
2458077.4898,0.7
2458077.4917,0.706
2458079.6824,0.472
2458079.6843,0.54
2458084.3497,0.727
2458094.3641,0.646
2458094.3658,0.655
2458095.4171,0.637
2458095.4191,0.636
2458101.3179,0.611
2458101.3198,0.562
2458112.3473,0.56
2458112.3492,0.575
2458112.4532,0.569
2458112.4552,0.571
2458113.3599,0.562
2458113.3619,0.56
